Item,Close,Distant
1,"0.556 [0.531, 0.581]","0.568 [0.543, 0.593]"
7,"0.459 [0.434, 0.484]","0.471 [0.445, 0.497]"
8,"0.334 [0.310, 0.358]","0.371 [0.346, 0.396]"
9,"0.582 [0.557, 0.607]","0.603 [0.578, 0.628]"
11,"0.209 [0.188, 0.230]","0.224 [0.203, 0.245]"
12,"0.717 [0.694, 0.740]","0.710 [0.687, 0.733]"
18,"0.460 [0.435, 0.485]","0.469 [0.443, 0.495]"
22,"0.475 [0.449, 0.501]","0.454 [0.428, 0.480]"
25,"0.739 [0.717, 0.761]","0.748 [0.726, 0.770]"
